        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603091200,   0.859,   1.029,   0.100,   0.070,   1.029,   0.000,   0.929,   0.100,   1.029
202603091206,   0.911,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091212,   0.965,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091218,   1.021,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091224,   1.080,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091230,   1.142,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091236,   1.205,   1.361,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091242,   1.270,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091248,   1.336,   1.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091254,   1.404,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091300,   1.473,   1.630,   0.100,   0.057,   1.630,   0.100,   1.630,   0.100,   1.630
202603091306,   1.543,   1.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091312,   1.614,   1.781,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091318,   1.685,   1.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091324,   1.756,   1.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091330,   1.828,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091336,   1.899,   2.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091342,   1.970,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603091348,   2.040,   2.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
